choices,scores
4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 ,0.4373956594323873
5 8 16 ,0.6494156928213689
4 5 6 7 8 9 10 11 13 14 15 16 17 18 ,0.4373956594323873
4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 ,0.4373956594323873
4 5 6 7 10 11 12 13 15 16 17 18 ,0.4373956594323873
11 ,1.0
5 9 10 13 14 15 ,0.7779632721202003
5 7 11 15 ,0.5175292153589316
4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 ,0.4373956594323873
4 5 6 7 8 9 12 13 14 15 16 17 18 ,0.3756260434056761
4 6 7 8 9 14 15 16 17 18 ,0.5442404006677797
5 8 12 13 14 16 ,0.6494156928213689
4 9 18 ,0.993322203672788
6 7 11 13 ,0.7128547579298832
4 5 6 7 8 9 10 11 13 14 15 18 ,0.4373956594323873
8 13 16 17 18 ,1.0
5 6 8 9 11 14 15 16 18 ,0.7779632721202003
4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 ,0.4373956594323873
4 5 8 11 13 15 16 17 ,0.7712854757929883
4 5 6 7 8 9 10 11 12 13 14 16 17 ,0.328881469115192
4 10 17 ,0.993322203672788
4 5 6 7 9 10 13 14 15 16 17 18 ,0.3756260434056761
14 ,1.0
5 6 7 9 10 11 12 13 14 15 16 17 18 ,0.5158597662771286
4 5 6 7 8 9 11 12 13 14 15 16 17 18 ,0.4373956594323873
5 7 8 9 11 12 13 15 16 17 18 ,0.5158597662771286
6 9 11 12 15 16 ,1.0
4 5 7 11 14 17 ,0.34891485809682804
6 12 15 ,1.0
4 6 7 12 13 14 15 16 17 18 ,0.5175292153589316
4 5 6 7 12 14 15 ,0.39398998330550916
4 5 7 10 12 13 15 18 ,0.3756260434056761
5 6 7 8 9 14 15 18 ,0.4373956594323873
6 7 9 10 14 15 ,0.6310517529215359
10 12 15 ,1.0
6 12 13 15 ,1.0
4 8 9 12 14 15 17 18 ,0.993322203672788
4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 ,0.4373956594323873
7 10 12 13 15 16 17 ,0.6293823038397329
16 ,1.0
5 8 9 10 11 12 14 16 ,0.6494156928213689
7 10 15 ,0.6310517529215359
4 5 7 9 10 13 15 17 ,0.3756260434056761
5 6 7 8 9 10 11 12 13 14 15 16 17 ,0.5158597662771286
4 5 7 8 10 11 12 13 14 15 16 17 18 ,0.4373956594323873
5 7 12 13 14 17 ,0.31886477462437396
4 5 6 7 8 9 10 11 12 13 14 16 17 18 ,0.328881469115192
4 5 6 8 11 12 15 16 ,0.7712854757929883
4 6 7 8 9 10 11 13 14 15 16 17 18 ,0.5809682804674458
5 6 7 8 9 10 11 12 13 14 15 16 17 18 ,0.5158597662771286
5 17 18 ,0.662771285475793
5 6 8 11 13 14 15 17 18 ,0.7779632721202003
4 6 7 8 10 11 12 13 15 16 17 18 ,0.5809682804674458
13 ,1.0
4 7 8 12 13 14 15 18 ,0.5175292153589316
4 5 7 8 10 11 12 13 14 15 17 ,0.4373956594323873
5 7 10 11 13 14 17 ,0.3989983305509182
4 5 6 ,0.657762938230384
13 ,1.0
5 7 14 15 16 ,0.4373956594323873
5 8 17 ,0.662771285475793
4 6 7 8 9 10 11 12 13 14 15 16 17 18 ,0.5809682804674458
5 6 9 11 13 15 16 17 ,0.7779632721202003
6 7 12 13 ,0.6293823038397329
13 16 18 ,1.0
4 5 6 8 9 10 11 12 13 14 16 18 ,0.6444073455759599
4 6 9 10 11 12 13 14 15 17 18 ,0.993322203672788
6 8 9 15 16 ,1.0
6 8 12 13 16 17 ,1.0
4 5 7 9 10 14 16 17 18 ,0.2871452420701169
7 8 ,0.6310517529215359
5 10 11 12 13 14 15 17 ,0.7779632721202003
4 6 10 14 ,0.993322203672788
5 6 15 18 ,0.7779632721202003
6 7 13 14 15 18 ,0.6293823038397329
5 15 ,0.7779632721202003
5 6 7 8 10 11 12 13 14 15 17 18 ,0.5158597662771286
4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 ,0.4373956594323873
5 15 ,0.7779632721202003
4 5 16 ,0.6444073455759599
4 5 10 14 ,0.657762938230384
6 8 10 11 12 13 14 16 17 ,1.0
4 5 6 7 8 10 11 12 13 14 15 16 17 18 ,0.4373956594323873
4 5 7 8 10 11 12 14 15 16 17 18 ,0.4557595993322204
8 11 12 15 16 17 ,1.0
4 6 18 ,0.993322203672788
6 7 8 9 10 11 12 13 14 15 16 18 ,0.7128547579298832
5 15 17 ,0.7779632721202003
4 5 6 10 11 12 13 18 ,0.657762938230384
4 5 8 9 10 11 12 13 15 16 17 18 ,0.7712854757929883
4 6 7 8 11 14 16 ,0.6076794657762938
4 5 6 9 10 11 12 13 14 16 17 18 ,0.6444073455759599
4 5 6 7 8 9 10 11 12 13 14 15 16 17 ,0.4373956594323873
4 6 11 13 ,0.993322203672788
5 6 7 8 9 10 11 12 13 14 16 17 18 ,0.39565943238731216
6 14 16 ,1.0
8 9 13 16 ,1.0
5 7 9 12 13 14 15 17 ,0.4357262103505843
5 6 8 10 12 13 14 15 16 17 18 ,0.7779632721202003
5 6 7 9 10 13 15 ,0.4357262103505843
