C:Lspec/benchmarks/serial/Main$1 Ljava/io/ByteArrayOutputStream
M:Lspec/benchmarks/serial/Main$1:<init>() (D)Ljava/io/ByteArrayOutputStream:<init>()
C:Lspec/benchmarks/serial/Utils Ljava/lang/Object
M:Lspec/benchmarks/serial/Utils:<clinit>() (D)Ljava/lang/Object:<init>()
C:Lspec/benchmarks/serial/Utils Ljava/util/BitSet
M:Lspec/benchmarks/serial/Utils:<clinit>() (D)Ljava/util/BitSet:<init>()
M:Lspec/benchmarks/serial/Utils:<clinit>() (M)Ljava/util/BitSet:set(II)
C:Lspec/benchmarks/serial/Utils Lspec/benchmarks/serial/Utils
M:Lspec/benchmarks/serial/Utils:<clinit>() (S)Lspec/benchmarks/serial/Utils:getInstance(I)
C:Lspec/benchmarks/serial/Utils Ljava/lang/StringBuilder
M:Lspec/benchmarks/serial/Utils:<clinit>() (D)Ljava/lang/StringBuilder:<init>()
M:Lspec/benchmarks/serial/Utils:<clinit>() (M)Ljava/lang/StringBuilder:append(Ljava/lang/String)
M:Lspec/benchmarks/serial/Utils:<clinit>() (M)Ljava/lang/StringBuilder:toString()
C:Lspec/benchmarks/serial/Utils Ljava/lang/Class
M:Lspec/benchmarks/serial/Utils:<clinit>() (S)Ljava/lang/Class:forName(Ljava/lang/String)
M:Lspec/benchmarks/serial/Utils:<clinit>() (M)Ljava/lang/Class:getMethod(Ljava/lang/String,[Ljava/lang/Class)
C:Lspec/benchmarks/serial/Utils Ljava/lang/reflect/Method
M:Lspec/benchmarks/serial/Utils:<clinit>() (M)Ljava/lang/reflect/Method:invoke(Ljava/lang/Object,[Ljava/lang/Object)
M:Lspec/benchmarks/serial/Utils:<clinit>() (M)Ljava/util/BitSet:get(I)
C:Lspec/benchmarks/serial/Utils Ljava/io/PrintStream
M:Lspec/benchmarks/serial/Utils:<clinit>() (M)Ljava/io/PrintStream:println(Ljava/lang/String)
C:Lspec/benchmarks/serial/data/Child Ljava/lang/Object
M:Lspec/benchmarks/serial/data/Child:<init>() (D)Ljava/lang/Object:<init>()
C:Lspec/benchmarks/serial/data/Child Ljava/lang/StringBuilder
M:Lspec/benchmarks/serial/data/Child:getB() (D)Ljava/lang/StringBuilder:<init>()
